22/May/2024:20:56:03 +0000 | /api/v1/components/ram | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:20:56:37 +0000 | /api/v1/components/ram | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:21:00:41 +0000 | /api/v1/components/ram | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:21:01:09 +0000 | /favicon.ico | GET | 404 | ::ffff:127.0.0.1 | -
22/May/2024:21:02:06 +0000 | /favicon.ico | GET | 500 | ::1 | -
22/May/2024:21:02:36 +0000 | /favicon.ico | GET | 200 | ::ffff:127.0.0.1 | -
22/May/2024:21:02:55 +0000 | /api/v1/components/ram | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:21:03:04 +0000 | /api/v1/components/ram | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:21:25:48 +0000 | /api/v1/components/ram | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:21:25:52 +0000 | /api/v1/components/rams | GET | 500 | ::ffff:127.0.0.1 | -
22/May/2024:21:25:57 +0000 | /api/v1/f | GET | 404 | ::ffff:127.0.0.1 | -
22/May/2024:21:26:02 +0000 | /api/v1/r | GET | 404 | ::ffff:127.0.0.1 | -
22/May/2024:21:26:14 +0000 | /api/v1/docs/ | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:21:26:14 +0000 | /api/v1/docs/swagger-ui.css | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:21:26:14 +0000 | /api/v1/docs/swagger-ui-bundle.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:21:26:14 +0000 | /api/v1/docs/swagger-ui-standalone-preset.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:21:26:14 +0000 | /api/v1/docs/swagger-ui-init.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:21:26:14 +0000 | /api/v1/docs/favicon-16x16.png | GET | 200 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:21:26:27 +0000 | /api/v1/components/ | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:44:45 +0000 | /api/v1/docs/ | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:22:44:45 +0000 | /api/v1/docs/swagger-ui.css | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:44:45 +0000 | /api/v1/docs/swagger-ui-bundle.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:44:45 +0000 | /api/v1/docs/swagger-ui-standalone-preset.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:44:45 +0000 | /api/v1/docs/swagger-ui-init.js | GET | 200 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:46:39 +0000 | /api/register/ | POST | 201 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:53:16 +0000 | /api/v1/docs/ | GET | 304 | ::ffff:127.0.0.1 | -
22/May/2024:22:53:16 +0000 | /api/v1/docs/swagger-ui.css | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:53:16 +0000 | /api/v1/docs/swagger-ui-init.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:53:16 +0000 | /api/v1/docs/swagger-ui-bundle.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:53:16 +0000 | /api/v1/docs/swagger-ui-standalone-preset.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
22/May/2024:22:53:52 +0000 | /api/register/ | POST | 201 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:25:17 +0000 | /api/v1/docs/ | GET | 304 | ::ffff:127.0.0.1 | -
23/May/2024:04:25:17 +0000 | /api/v1/docs/swagger-ui.css | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:25:17 +0000 | /api/v1/docs/swagger-ui-bundle.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:25:17 +0000 | /api/v1/docs/swagger-ui-standalone-preset.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:25:17 +0000 | /api/v1/docs/swagger-ui-init.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:30:49 +0000 | /api/v1/docs/ | GET | 304 | ::ffff:127.0.0.1 | -
23/May/2024:04:30:49 +0000 | /api/v1/docs/swagger-ui.css | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:30:49 +0000 | /api/v1/docs/swagger-ui-bundle.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:30:49 +0000 | /api/v1/docs/swagger-ui-init.js | GET | 200 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:30:49 +0000 | /api/v1/docs/swagger-ui-standalone-preset.js | GET | 304 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:31:08 +0000 | /api/auth/ | POST | 404 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:31:41 +0000 | /api/auth/ | POST | 200 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
23/May/2024:04:35:10 +0000 | /api/auth/ | POST | 200 | ::ffff:127.0.0.1 | http://localhost:4000/api/v1/docs/
